City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Victoria,HK,2022-03-14 02:27:47,22.2855,114.1577,79.95,78,38,8.01
68,Kaitangata,NZ,2022-03-14 02:30:46,-46.2817,169.8464,62.2,70,29,7.05
69,Hasaki,JP,2022-03-14 02:30:47,35.7333,140.8333,70.2,66,14,3.06
70,Portland,US,2022-03-14 02:26:16,45.5234,-122.6762,50.83,87,100,8.01
71,Busselton,AU,2022-03-14 02:28:39,-33.65,115.3333,75.7,59,52,5.61
72,Bela Vista,BR,2022-03-14 02:30:47,-22.1089,-56.5211,68.65,88,23,1.54
73,Ankpa,NG,2022-03-14 02:30:48,7.3706,7.6253,73.99,74,9,2.48
74,Malatya,TR,2022-03-14 02:30:48,38.5,38.0,26.65,64,100,13.8
75,Quatre Cocos,MU,2022-03-14 02:30:48,-20.2078,57.7625,79.09,83,100,11.48
76,Puerto Ayora,EC,2022-03-14 02:30:48,-0.7393,-90.3518,77.56,95,34,2.93
77,Sines,PT,2022-03-14 02:30:49,37.9562,-8.8698,52.29,84,100,5.99
78,Jamestown,US,2022-03-14 02:30:49,42.097,-79.2353,32.02,48,100,10.36
79,Merauke,ID,2022-03-14 02:30:50,-8.4667,140.3333,87.76,67,33,6.33
80,Safaga,EG,2022-03-14 02:30:50,26.7292,33.9365,54.61,64,0,22.59
81,Cape Town,ZA,2022-03-14 02:30:50,-33.9258,18.4232,58.12,66,40,5.75
82,Kieta,PG,2022-03-14 02:30:50,-6.2167,155.6333,85.41,62,86,4.38
83,Port Blair,IN,2022-03-14 02:30:51,11.6667,92.75,84.24,74,40,4.61
84,Gualaquiza,EC,2022-03-14 02:30:51,-3.4,-78.55,63.1,98,94,1.03
85,Aldan,RU,2022-03-14 02:30:51,58.6031,125.3894,8.02,77,100,4.21
86,Albemarle,US,2022-03-14 02:29:54,35.3501,-80.2001,45.16,46,0,5.75
87,Qaanaaq,GL,2022-03-14 02:30:52,77.484,-69.3632,-7.8,99,100,1.23
88,Punta Arenas,CL,2022-03-14 02:27:50,-53.15,-70.9167,41.11,81,75,21.85
89,Sakaiminato,JP,2022-03-14 02:30:52,35.55,133.2333,53.58,100,75,10.36
90,Mengcheng,CN,2022-03-14 02:30:53,33.2579,116.5655,70.56,47,70,15.55
91,Abnub,EG,2022-03-14 02:30:53,27.2696,31.1511,46.62,52,0,14.16
92,Pangkalanbuun,ID,2022-03-14 02:30:53,-2.6833,111.6167,88.38,59,99,2.71
93,Labuan,MY,2022-03-14 02:30:54,5.2767,115.2417,86.36,79,20,2.3
94,Salgueiro,BR,2022-03-14 02:30:12,-8.0742,-39.1192,76.1,65,95,6.13
95,Hoquiam,US,2022-03-14 02:30:54,46.9809,-123.8893,48.18,91,100,19.57
96,Molepolole,BW,2022-03-14 02:30:54,-24.4066,25.4951,64.54,47,51,9.66
97,Karlskrona,SE,2022-03-14 02:30:54,56.1616,15.5866,28.85,86,6,8.03
98,Coahuayana,MX,2022-03-14 02:30:55,18.7333,-103.6833,68.97,89,0,2.62
99,Ennis,IE,2022-03-14 02:30:55,52.8436,-8.9864,42.73,87,20,8.05
100,Oyskhara,RU,2022-03-14 02:30:55,43.2633,46.2494,28.74,83,22,2.77
101,Cidreira,BR,2022-03-14 02:30:56,-30.1811,-50.2056,70.11,86,100,10.58
102,Tabuk,PH,2022-03-14 02:30:56,17.4189,121.4443,84.83,65,26,5.19
103,Wattegama,LK,2022-03-14 02:30:56,6.7989,81.4808,81.93,64,74,8.63
104,Clyde River,CA,2022-03-14 02:30:56,70.4692,-68.5914,-9.17,77,100,26.46
105,Brae,GB,2022-03-14 02:30:57,60.3964,-1.353,45.59,90,100,24.9
106,Arraial Do Cabo,BR,2022-03-14 02:30:57,-22.9661,-42.0278,76.96,90,8,15.75
107,Yola,NG,2022-03-14 02:30:57,9.2,12.4833,77.07,21,75,2.44
108,Korla,CN,2022-03-14 02:30:58,41.7597,86.1469,55.8,30,98,10.31
109,Puerto Escondido,MX,2022-03-14 02:30:58,15.85,-97.0667,79.63,73,20,0.0
110,Vanimo,PG,2022-03-14 02:30:58,-2.6741,141.3028,86.74,65,69,8.01
111,Dunedin,NZ,2022-03-14 02:28:39,-45.8742,170.5036,65.8,61,45,5.01
112,Albany,US,2022-03-14 02:30:27,42.6001,-73.9662,27.01,61,45,6.67
113,Iqaluit,CA,2022-03-14 02:30:59,63.7506,-68.5145,-25.87,75,20,10.36
114,Asau,RO,2022-03-14 02:30:59,46.4333,26.4,21.88,95,63,3.29
115,Barrow,US,2022-03-14 02:30:59,71.2906,-156.7887,1.42,78,100,13.8
116,Sangin,AF,2022-03-14 02:31:00,32.0728,64.8359,71.51,37,57,5.21
117,Leningradskiy,RU,2022-03-14 02:29:16,69.3833,178.4167,-2.02,93,85,9.04
118,Guerrero Negro,MX,2022-03-14 02:31:00,27.9769,-114.0611,59.52,79,2,15.84
119,Yellowknife,CA,2022-03-14 02:27:32,62.456,-114.3525,-6.45,72,20,9.22
120,Invermere,CA,2022-03-14 02:31:00,50.5167,-116.0354,31.73,95,74,2.82
121,Nouadhibou,MR,2022-03-14 02:31:01,20.931,-17.0347,62.58,82,34,24.16
122,Port Elizabeth,ZA,2022-03-14 02:29:49,-33.918,25.5701,61.11,88,20,20.71
123,Georgetown,MY,2022-03-14 02:28:08,5.4112,100.3354,87.73,85,20,3.44
124,Orocue,CO,2022-03-14 02:31:01,4.7912,-71.3354,82.38,62,96,3.85
125,Sorland,NO,2022-03-14 02:31:02,67.667,12.6934,40.32,77,100,13.91
